name_month,x_UTM,y_UTM,N_indi
mastegatatxes_4,437408.2184012554,4605299.868842844,4
mastegatatxes_4,374720.72163856216,4563917.822969503,1
mastegatatxes_4,440941.8851658422,4606456.891700859,1
mastegatatxes_4,426231.40730292164,4582152.80521182,1
mastegatatxes_4,404408.5657404141,4594299.976433642,2
mastegatatxes_4,472106.62119208963,4672916.78860179,1
mastegatatxes_4,441210.1715324958,4649884.405307642,1
mastegatatxes_4,429027.2665997627,4579884.422965224,3
mastegatatxes_4,438001.203049138,4655384.348175869,1
mastegatatxes_4,429408.3075795907,4579300.139830291,1
mastegatatxes_4,438408.19900110847,4656299.338791194,1
mastegatatxes_4,447447.5257451773,4598805.463703606,1
mastegatatxes_4,479481.7667563305,4612452.665748401,1
mastegatatxes_4,426714.33249681845,4572937.673696586,2
mastegatatxes_4,421582.80498333625,4570873.354216833,1
mastegatatxes_4,407909.1067036399,4646925.408484382,1
mastegatatxes_4,390408.6971634413,4641299.482329372,1
mastegatatxes_4,407328.5648435517,4656021.750307003,1
mastegatatxes_4,512407.4395512735,4691298.984840412,1
mastegatatxes_4,515407.40900305705,4679299.107558881,1
mastegatatxes_4,438854.8061866539,4643409.680342402,1
mastegatatxes_4,441210.1715324958,4649884.405307642,1
mastegatatxes_4,434416.2406864139,4642274.136986455,1
mastegatatxes_4,445408.13536148955,4606299.859754681,2
mastegatatxes_4,429408.3075795907,4579300.139830291,1
mastegatatxes_4,421091.6576568885,4571017.187886013,1
mastegatatxes_4,308775.8126215574,4501709.972858089,1
mastegatatxes_4,345538.5792389539,4551522.715379163,1
mastegatatxes_4,345985.18609167513,4556461.243172057,1
mastegatatxes_4,439408.18958945625,4652299.380054548,1
mastegatatxes_4,440408.1779477911,4657299.32904292,1
mastegatatxes_4,456626.4796846636,4669284.161726526,1
mastegatatxes_4,433408.24719410646,4671299.183294816,1
mastegatatxes_4,506407.50041139364,4675299.14836534,1
mastegatatxes_4,419664.16538234154,4569689.392746904,2
mastegatatxes_4,311527.5875114489,4502643.910946125,2
mastegatatxes_4,304990.05222638557,4503008.789736921,1
mastegatatxes_4,340409.2512973795,4559300.320993684,1
mastegatatxes_4,357023.06558160065,4577898.148194129,1
mastegatatxes_4,423151.3472368101,4655223.150191485,1
mastegatatxes_4,440408.17835338635,4658299.318573871,1
mastegatatxes_4,430408.2772939004,4675299.141808877,1
mastegatatxes_4,475115.9432662358,4671519.812351,1
mastegatatxes_4,435540.0222365272,4645993.076672404,1
mastegatatxes_4,428385.27925786364,4607946.147151118,1
mastegatatxes_4,447454.7737401974,4598815.625304924,1
mastegatatxes_4,446408.1241607286,4607299.849471132,2
mastegatatxes_4,465302.0673695136,4619443.37255717,1
mastegatatxes_4,432693.88668090175,4589647.6042483235,3
mastegatatxes_4,291061.6779030661,4568522.912309804,1
mastegatatxes_4,404408.5657404141,4594299.976433642,1
mastegatatxes_4,383408.78524507326,4594299.969989313,1
mastegatatxes_4,377408.8284025224,4648299.4054426225,2
mastegatatxes_4,377496.4612618833,4648229.183520033,2
mastegatatxes_4,291699.86114449793,4600836.301653824,2
mastegatatxes_4,311911.65554437117,4620127.208056132,1
mastegatatxes_4,290560.8797824001,4599499.57720069,1
mastegatatxes_4,332956.75115172885,4678975.741010197,1
mastegatatxes_4,332958.14172151714,4679075.922981717,1
mastegatatxes_4,332844.0962224429,4678990.751973518,1
mastegatatxes_4,332716.22848908964,4679122.67425411,2
mastegatatxes_4,333016.1135257976,4679118.542130295,1
mastegatatxes_4,333056.4939922743,4679157.3576728385,4
mastegatatxes_4,333432.8186976571,4679689.609833812,1
mastegatatxes_4,339090.7859096,4688069.95148583,1
mastegatatxes_4,374275.2953323523,4690623.215296171,2
mastegatatxes_4,407328.5648435517,4656021.750307003,4
mastegatatxes_4,437836.54962343664,4654538.659062294,1
mastegatatxes_4,448359.53204740095,4654838.434076106,1
mastegatatxes_4,456470.00624733034,4670316.780427816,1
mastegatatxes_4,430408.2772939004,4675299.141808877,3
mastegatatxes_4,429408.2868876911,4679299.100691925,1
mastegatatxes_4,429408.28617617534,4681299.080148569,2
mastegatatxes_4,492279.5790804208,4693995.401401238,1
mastegatatxes_4,478407.78690194356,4671299.189330244,1
mastegatatxes_4,484489.4807230953,4648581.873808589,3
mastegatatxes_4,484786.5140353789,4648609.970509644,1
mastegatatxes_4,493976.1846675522,4631872.731733043,1
mastegatatxes_4,486259.71159141656,4635803.215881107,2
mastegatatxes_4,438072.6528307818,4642898.4200532865,1
mastegatatxes_4,441202.9815930947,4649880.087824862,1
mastegatatxes_4,445408.1347111421,4609299.828041385,1
mastegatatxes_4,441408.17602416384,4611299.806871568,2
mastegatatxes_4,441294.49816190527,4611161.345733698,1
mastegatatxes_4,441329.8117026907,4611049.804504039,1
mastegatatxes_4,418281.28807174286,4601043.51810029,2
mastegatatxes_4,418408.41754580365,4601299.9067977555,1
mastegatatxes_4,445408.13536148955,4606299.859754681,4
mastegatatxes_4,481455.18314531835,4610951.670650198,1
mastegatatxes_4,345538.5792389539,4551522.715379163,1
mastegatatxes_4,388408.7397677497,4574300.182224499,1
mastegatatxes_4,403780.4958734397,4625612.651818501,5
mastegatatxes_4,403408.5678411891,4623299.672147674,2
mastegatatxes_4,359579.31242304895,4632409.115644696,1
mastegatatxes_4,332453.0512065453,4678613.201193211,1
mastegatatxes_4,332499.67342535383,4678691.973380743,1
mastegatatxes_4,348409.09786396945,4715298.708125717,1
mastegatatxes_4,339253.098600224,4687976.124524452,3
mastegatatxes_4,373420.70123488316,4691634.0157127315,1
mastegatatxes_4,374275.2953323523,4690623.215296171,14
mastegatatxes_4,404119.5510779262,4657556.317942835,2
mastegatatxes_4,437408.209372591,4657299.3285210375,3
mastegatatxes_4,437458.2090494239,4656127.340878658,1
mastegatatxes_4,440408.17930185434,4650299.401479536,1
mastegatatxes_4,438408.19900110847,4656299.338791194,6
mastegatatxes_4,430408.2772939004,4675299.141808877,1
mastegatatxes_4,508358.9926235286,4673502.946227889,3
mastegatatxes_4,507884.5055771453,4673986.392439319,0
mastegatatxes_4,500755.060094999,4687451.694251498,1
mastegatatxes_4,508407.4809321268,4691298.985310828,2
mastegatatxes_4,500407.56206727587,4688299.015226192,1
mastegatatxes_4,504619.40690416645,4629001.771606574,1
mastegatatxes_4,440294.18139361445,4645807.447735234,2
mastegatatxes_4,441210.1715324958,4649884.405307642,7
mastegatatxes_4,441284.35383235675,4610900.832416584,1
mastegatatxes_4,430408.293368787,4596299.961425548,1
mastegatatxes_4,457220.3053406418,4602412.043874456,1
mastegatatxes_4,452408.0633607927,4597299.954905266,1
mastegatatxes_4,438998.45655967656,4591490.199477556,1
mastegatatxes_4,423408.3690749716,4585300.07583274,1
mastegatatxes_4,431996.36906021636,4583905.714459685,1
mastegatatxes_4,429070.65253632376,4587396.678254341,1
mastegatatxes_4,429445.30697145406,4579515.137412079,0
mastegatatxes_4,422274.4615877978,4574707.859124563,1
mastegatatxes_4,426016.95834463293,4573837.298305712,1
mastegatatxes_4,426536.3392718851,4572873.20713384,1
mastegatatxes_4,421660.3905801407,4570531.231106391,6
mastegatatxes_4,427003.43323781993,4573102.992513526,3
mastegatatxes_4,291251.47593399044,4498472.898404777,1
mastegatatxes_4,291994.12752257346,4498498.617958423,1
mastegatatxes_4,312321.553705598,4502757.468025932,1
mastegatatxes_4,310338.7460440065,4501923.418597418,1
mastegatatxes_4,310797.97878106334,4502241.108046529,2
mastegatatxes_4,305385.36173391016,4504443.632656369,1
mastegatatxes_4,305642.85992027225,4503966.346081098,0
mastegatatxes_4,305874.4750822061,4503647.742600497,2
mastegatatxes_4,304358.6643649161,4502876.905015216,1
mastegatatxes_4,292419.027297497,4596937.478148389,2
mastegatatxes_4,393408.6899417257,4565300.278501941,2
mastegatatxes_4,414915.2675404691,4569618.359457441,3
mastegatatxes_4,340996.8239135728,4571568.210815427,1
mastegatatxes_4,333409.30026812444,4610299.780853622,1
mastegatatxes_4,401408.5964703687,4595299.964293427,1
mastegatatxes_4,400408.5959026292,4634299.556938308,2
mastegatatxes_4,359579.31242304895,4632409.115644696,1
mastegatatxes_4,351409.10263357195,4633299.5497242585,1
mastegatatxes_4,336224.3137034648,4639018.170085726,1
mastegatatxes_4,329354.33885508205,4616517.714011036,8
mastegatatxes_4,332863.99409983703,4676646.561543938,1
mastegatatxes_4,332848.08562013926,4676526.170925174,2
mastegatatxes_4,355059.0918530201,4718374.637943763,1
mastegatatxes_4,339239.3594817695,4688088.761546062,1
mastegatatxes_4,338769.21615755034,4686863.130311218,1
mastegatatxes_4,408482.33808992995,4676286.083773182,1
