name_month,x_UTM,y_UTM
oreneta_c_3,476407.8105598495,4630299.612819579
oreneta_c_3,472157.1755776529,4634543.131006716
oreneta_c_3,478693.7723606376,4627958.131461768
oreneta_c_3,477407.8006338119,4625299.6651650695
oreneta_c_3,478451.5605440328,4627665.083102867
oreneta_c_3,478521.7884224759,4627826.638829213
oreneta_c_3,478521.7884224759,4627826.638829213
oreneta_c_3,478772.61662509415,4628128.432814136
oreneta_c_3,478561.3614690236,4627434.928609868
oreneta_c_3,473144.3352731095,4620923.609385971
oreneta_c_3,478521.7884224759,4627826.638829213
oreneta_c_3,437408.2184012554,4605299.868842844
oreneta_c_3,437766.1936792256,4605318.525387239
oreneta_c_3,431209.7207500209,4601654.262822262
oreneta_c_3,431209.7207500209,4601654.262822262
oreneta_c_3,439408.19847643975,4602299.899674466
oreneta_c_3,437090.3657143938,4605475.488079345
oreneta_c_3,430137.867624332,4607019.768560146
oreneta_c_3,431209.7207500209,4601654.262822262
oreneta_c_3,439408.19847643975,4602299.899674466
oreneta_c_3,430408.29174557846,4606299.856102712
oreneta_c_3,437010.5868187856,4605413.706070123
oreneta_c_3,431209.7207500209,4601654.262822262
oreneta_c_3,437057.27328851726,4605529.546492931
oreneta_c_3,430454.992359876,4608644.774339171
oreneta_c_3,437123.5149229291,4605518.197044032
oreneta_c_3,437408.2184012554,4605299.868842844
oreneta_c_3,433408.26095507055,4600299.9199212
oreneta_c_3,432749.35129182297,4601374.761759287
oreneta_c_3,430408.29071959417,4608299.836050717
oreneta_c_3,437048.5803250746,4605650.4240468405
oreneta_c_3,437090.3657143938,4605475.488079345
oreneta_c_3,439408.1984105888,4603299.889591107
oreneta_c_3,437408.2184012554,4605299.868842844
oreneta_c_3,439408.19847643975,4602299.899674466
oreneta_c_3,437090.3657143938,4605475.488079345
oreneta_c_3,437003.8088520845,4605429.64283471
oreneta_c_3,437007.2269592064,4605439.272569
oreneta_c_3,430306.7901713063,4605422.361908703
oreneta_c_3,436408.2298764216,4603299.888892612
oreneta_c_3,432742.4106383733,4601524.496887554
oreneta_c_3,439408.19847643975,4602299.899674466
oreneta_c_3,430408.2926413493,4601299.909290737
oreneta_c_3,423408.36480381247,4606299.855611028
oreneta_c_3,425218.4737628186,4602560.707431739
oreneta_c_3,424973.6957813217,4600270.911974824
oreneta_c_3,424390.1748765692,4600439.014048313
oreneta_c_3,423408.36614410434,4600299.917755875
oreneta_c_3,426334.2610394434,4600898.019071368
oreneta_c_3,423500.697677138,4607497.617147611
oreneta_c_3,424390.1748765692,4600439.014048313
oreneta_c_3,421718.4307428306,4601650.785388149
oreneta_c_3,425290.7783104143,4602483.673966366
oreneta_c_3,423408.36614410434,4600299.917755875
oreneta_c_3,425408.3442724885,4602299.896990385
oreneta_c_3,425408.3452498695,4600299.918091185
oreneta_c_3,426594.2621972416,4604009.414398042
oreneta_c_3,424390.1748765692,4600439.014048313
oreneta_c_3,425793.5152440821,4601762.415246268
oreneta_c_3,429408.30273541855,4602299.8987214295
oreneta_c_3,426640.7795681154,4600515.3784808805
oreneta_c_3,427156.69391820254,4597830.808261841
oreneta_c_3,428212.30009233847,4596865.3425552575
oreneta_c_3,429242.0898867516,4593665.587330811
oreneta_c_3,420408.39939145953,4590300.022441715
oreneta_c_3,426754.1995393294,4598856.944038659
oreneta_c_3,427271.2477155844,4597516.206735082
oreneta_c_3,428199.197587276,4596873.578345039
oreneta_c_3,428226.3828253375,4596905.284962389
oreneta_c_3,429634.6027753073,4598964.591996202
oreneta_c_3,427147.8113721461,4598082.9421645375
oreneta_c_3,427072.4077806025,4598793.981282774
oreneta_c_3,428298.22914437286,4596905.236418996
oreneta_c_3,428408.31450537685,4597299.950897118
oreneta_c_3,428408.31450537685,4597299.950897118
oreneta_c_3,429020.8270926614,4593897.904089114
oreneta_c_3,424408.3557826698,4599299.9287283765
oreneta_c_3,429021.4179482729,4593898.564466636
oreneta_c_3,427075.9946610399,4598793.944987464
oreneta_c_3,427217.0127307162,4598582.223390188
oreneta_c_3,428227.78687615314,4596920.59341747
oreneta_c_3,429340.8093397347,4593616.742601918
oreneta_c_3,419408.4087528826,4593299.990667883
oreneta_c_3,418865.1032240719,4591056.610357652
oreneta_c_3,417408.4304577924,4590300.021454521
oreneta_c_3,416553.0177465775,4590385.532674196
oreneta_c_3,306777.7883092085,4520208.310955407
oreneta_c_3,404408.5578095434,4621299.693354976
oreneta_c_3,401408.5891093845,4621299.693073596
oreneta_c_3,403910.0083576974,4622433.129273551
oreneta_c_3,403898.77458452666,4622468.671846328
oreneta_c_3,403898.77458452666,4622468.671846328
oreneta_c_3,401405.9196654234,4624539.639412631
oreneta_c_3,403780.4958734397,4625612.651818501
oreneta_c_3,406702.098237101,4622764.284450788
oreneta_c_3,400500.47838932346,4622009.229829673
oreneta_c_3,406655.1043723399,4622503.925419922
oreneta_c_3,406408.537691415,4620299.705141715
oreneta_c_3,403780.4958734397,4625612.651818501
oreneta_c_3,409048.4531694948,4625266.45591716
oreneta_c_3,403780.4958734397,4625612.651818501
oreneta_c_3,403898.77458452666,4622468.671846328
oreneta_c_3,403780.4958734397,4625612.651818501
oreneta_c_3,401379.8433393272,4620174.668342411
oreneta_c_3,409048.4531694948,4625266.45591716
