name_month,x_UTM,y_UTM
falsiot_4,446191.01953227335,4600627.697901538
falsiot_4,445408.1353614896,4606299.859754681
falsiot_4,447408.1150637255,4603299.890848304
falsiot_4,446299.7502265495,4600658.751241049
falsiot_4,445164.4289839818,4605685.993569152
falsiot_4,445920.6440172985,4600005.194303966
falsiot_4,447751.4424871952,4604328.431985159
falsiot_4,441408.17628587823,4608299.838170157
falsiot_4,445408.1353614896,4606299.859754681
falsiot_4,444408.14561735885,4606299.859121701
falsiot_4,444408.14561735885,4606299.859121701
falsiot_4,445408.1353614896,4606299.859754681
falsiot_4,445408.1353614896,4606299.859754681
falsiot_4,445408.1353614896,4606299.859754681
falsiot_4,455200.28809322405,4608112.422563718
falsiot_4,457155.6835373714,4602746.094049762
falsiot_4,454504.88047550526,4601852.395468998
