name_month,x_UTM,y_UTM,N_indi,month,year,N_obs
aligot_5,342779.60059052124,4662085.657818803,1,5,2022,1
aligot_5,438339.2257894979,4689644.130142041,1,5,2022,1
aligot_5,445408.1368510407,4594299.985378639,1,5,2022,1
aligot_5,407408.50606880256,4699298.890747807,2,5,2022,1
aligot_5,317282.71940112783,4594855.603837329,7,5,2022,1
aligot_5,424887.9876576327,4671387.4535767725,1,5,2022,1
aligot_5,495376.86123412935,4699870.0667823395,2,5,2022,1
aligot_5,508544.54398014944,4671924.584454358,1,5,2022,1
aligot_5,403780.4958734397,4625612.651818501,12,5,2022,1
aligot_5,419002.1071070419,4655307.161684593,1,5,2022,1
aligot_5,487759.2637362439,4633775.133746217,1,5,2022,1
aligot_5,448725.3934378859,4628743.545341935,1,5,2022,1
aligot_5,448859.6542354264,4603508.166099767,2,5,2022,1
aligot_5,486506.92664127867,4615788.691096031,1,5,2022,1
aligot_5,372731.36896491365,4575827.72705418,4,5,2022,1
aligot_5,502386.009305781,4651645.022766328,5,5,2022,1
aligot_5,509067.473402302,4681819.081403016,3,5,2022,1
aligot_5,500942.3796970619,4683849.705060929,6,5,2022,1
aligot_5,444632.77235929825,4610405.802648291,3,5,2022,1
aligot_5,444648.90090127406,4610661.379118156,1,5,2022,1
aligot_5,449401.3424706614,4663856.946875671,1,5,2022,1
aligot_5,486407.7046033426,4691298.984774911,2,5,2022,1
aligot_5,496706.8649260969,4677827.612547851,1,5,2022,1
aligot_5,504174.4545483636,4659128.709164501,2,5,2022,1
aligot_5,425452.32826992153,4630584.025321599,1,5,2022,1
aligot_5,427408.3190117109,4625299.657996339,0,5,2022,1
aligot_5,457992.52412803157,4606881.183182713,1,5,2022,1
aligot_5,438408.1935674959,4689298.999853747,9,5,2022,3
aligot_5,486388.5998577478,4692690.688180942,1,5,2022,1
aligot_5,507750.61333138344,4693329.527832183,1,5,2022,1
aligot_5,506935.87189502193,4692149.464968258,1,5,2022,1
aligot_5,508885.81040444353,4691632.019042774,4,5,2022,1
aligot_5,508888.1894293579,4691638.684246208,15,5,2022,1
aligot_5,508714.9773454571,4691767.4906772375,10,5,2022,1
aligot_5,508655.81722744886,4691808.16760892,1,5,2022,1
aligot_5,508359.9114172164,4692521.661159606,5,5,2022,1
aligot_5,509666.91501982993,4691524.682861555,4,5,2022,1
aligot_5,468346.4440855341,4646034.0580252465,3,5,2022,1
aligot_5,330719.3094624481,4552044.935145037,4,5,2022,1
aligot_5,417042.4123777903,4683720.052923286,3,5,2022,1
aligot_5,361289.51256451104,4673262.850365354,1,5,2022,1
aligot_5,454408.0341867611,4661299.290195304,1,5,2022,1
aligot_5,482407.74584253336,4671299.189659539,1,5,2022,1
aligot_5,506364.5246640265,4675475.920102302,3,5,2022,1
aligot_5,499407.5719202988,4692298.975057677,1,5,2022,1
aligot_5,471407.8631890418,4613299.789642509,1,5,2022,1
aligot_5,498407.5820407468,4691298.984716901,1,5,2022,1
aligot_5,515244.11866828334,4651159.605403897,1,5,2022,1
aligot_6,441408.16277953004,4690298.989795241,1,6,2022,1
aligot_6,473671.9035467321,4618091.247794857,2,6,2022,1
aligot_6,446949.9466885813,4689890.968734627,2,6,2022,1
aligot_6,346872.3948240876,4717770.790830836,2,6,2022,1
aligot_6,442408.1534721223,4682299.0723736575,1,6,2022,1
aligot_6,442247.27840988006,4596082.223336197,1,6,2022,1
aligot_6,334211.6828284954,4602598.962316752,2,6,2022,1
aligot_6,397760.8712996801,4578260.6042859,1,6,2022,1
aligot_6,456410.7483470218,4605369.213809775,1,6,2022,1
aligot_6,456430.8394239328,4605439.038263692,1,6,2022,1
aligot_6,456425.42725629575,4605426.081045644,0,6,2022,1
aligot_6,462029.36002784624,4614191.849349126,1,6,2022,1
aligot_6,470612.7869366592,4615111.554617912,1,6,2022,1
aligot_6,469087.29420700076,4646676.639871458,1,6,2022,1
aligot_6,467118.10823231644,4616078.660114392,2,6,2022,1
aligot_6,434972.88499514037,4662743.483216047,1,6,2022,1
aligot_6,440223.7363916331,4689077.564607059,2,6,2022,1
aligot_6,440768.41665603843,4688618.5436311215,1,6,2022,1
aligot_6,442710.96828853217,4634136.881737669,1,6,2022,1
aligot_6,442784.0701896364,4634133.296553011,1,6,2022,1
aligot_6,329354.33885508205,4616517.714011036,2,6,2022,1
aligot_6,437408.20362470654,4689298.999330636,3,6,2022,1
aligot_6,445813.77792290994,4631400.632382915,1,6,2022,1
aligot_6,468108.7833345097,4647940.532239638,1,6,2022,1
aligot_6,321393.6747512701,4706798.1465839585,1,6,2022,1
aligot_6,460989.5408036932,4681050.261606379,2,6,2022,1
aligot_6,314131.3837110638,4742661.998671535,1,6,2022,1
aligot_6,430337.34613127063,4688567.813979393,2,6,2022,1
aligot_6,451479.27544160193,4643968.854663415,2,6,2022,1
aligot_6,439052.97309635946,4628312.0330680255,1,6,2022,1
aligot_6,437408.22038799827,4594299.98317281,1,6,2022,1
aligot_6,323409.34286897274,4730298.544662812,1,6,2022,1
aligot_6,413408.44855240703,4687299.014982473,1,6,2022,1
aligot_6,445408.13119352993,4631299.598817101,2,6,2022,1
aligot_6,456408.01654946065,4636299.548441217,1,6,2022,1
aligot_6,441462.0939557794,4621980.907332734,1,6,2022,1
aligot_6,384408.7501269219,4666299.2222230295,1,6,2022,1
aligot_6,469826.7526165469,4610991.503835422,1,6,2022,1
aligot_7,450408.07389153115,4671299.186035407,1,7,2022,1
aligot_7,439868.3317716073,4633601.340877116,1,7,2022,1
aligot_7,455408.0273420837,4635299.558508136,1,7,2022,1
aligot_7,450231.0603155573,4620175.993035364,1,7,2022,1
aligot_7,456440.41626497376,4605437.86999282,2,7,2022,1
aligot_7,447641.0527051356,4679355.899467544,3,7,2022,1
aligot_7,429315.1772831078,4632815.547017243,1,7,2022,1
aligot_7,467118.10823231644,4616078.660114392,2,7,2022,1
aligot_7,313409.4347219579,4745298.388468427,2,7,2022,1
aligot_7,458373.7369095618,4656801.032638423,1,7,2022,1
aligot_7,478802.5436581747,4692761.081633869,1,7,2022,1
aligot_7,437009.679719077,4683253.211878467,1,7,2022,1
aligot_7,452116.04971555783,4602508.174367473,1,7,2022,1
aligot_7,481407.7587454988,4630299.612444972,1,7,2022,1
aligot_7,446892.2855663206,4623645.495222623,2,7,2022,1
aligot_7,446879.42511419416,4623648.810656457,2,7,2022,1
aligot_7,308566.9503211206,4737818.86889809,1,7,2022,1
aligot_7,431408.26732072036,4676299.132103601,1,7,2022,1
aligot_7,441408.1625502,4689299.000628414,1,7,2022,1
aligot_7,410408.4797345186,4684299.045046097,1,7,2022,1
aligot_7,456033.03532451077,4623244.156083213,1,7,2022,1
aligot_7,467708.2529754733,4648500.23970044,1,7,2022,1
aligot_7,377408.82478003413,4659299.291524023,2,7,2022,1
aligot_7,421692.3905420611,4570449.231817338,1,7,2022,1
aligot_7,481407.75655487645,4666299.240373669,1,7,2022,1
aligot_7,316034.37671558035,4699051.8973452,1,7,2022,1
aligot_7,337031.34225275944,4703270.217808435,1,7,2022,1
aligot_8,454236.8791775695,4623076.654243829,2,8,2022,1
aligot_8,454210.15687837277,4623187.8546042675,1,8,2022,1
