name_month,x_UTM,y_UTM
abellerol_4,304104.1342093107,4602319.501768844
abellerol_4,304300.2285044502,4602713.4005498765
abellerol_4,296147.69403267256,4599049.878629168
abellerol_4,292722.5965752592,4598185.71778708
abellerol_4,292629.73200749827,4597172.896378909
abellerol_4,293192.8751748954,4598667.029409274
abellerol_4,290304.05676050857,4599048.647400855
abellerol_4,325322.0186035085,4672660.368411364
abellerol_4,326085.31215005065,4670937.20736124
abellerol_4,326409.3426049199,4670299.156780574
abellerol_4,480289.5272371458,4654997.946333272
abellerol_4,501889.1282411589,4678283.221868501
abellerol_4,505407.5106362535,4675299.149115395
abellerol_4,508096.08059949486,4673030.779213107
abellerol_4,508163.837625432,4673030.715342507
abellerol_4,508057.4838751611,4673909.162662152
abellerol_4,505918.8868997925,4679450.096321387
abellerol_4,507891.7172776324,4673210.499587394
abellerol_4,505407.5108242441,4673299.168871762
abellerol_4,508132.48304658895,4673326.169247445
abellerol_4,509407.4700439035,4676299.138430539
abellerol_4,508009.4844832166,4674756.154328445
abellerol_4,509233.5884307826,4672664.77413774
abellerol_4,507174.45276963455,4678810.384077271
abellerol_4,508161.61983733217,4673021.274958639
abellerol_4,508407.4804714018,4672299.178954969
abellerol_4,508096.08059949486,4673030.779213107
abellerol_4,508544.54398014944,4671924.584454358
abellerol_4,507491.169524646,4674507.375003933
abellerol_4,508220.0490884003,4673176.824814109
abellerol_4,508407.479909626,4673299.169301422
abellerol_4,508614.47783594986,4672886.173204514
abellerol_4,508181.1314650488,4673704.928681185
abellerol_4,443408.1502563411,4643299.473476773
abellerol_4,443408.1502563411,4643299.473476773
abellerol_4,443994.1322865828,4640632.54264727
abellerol_4,429307.9197399612,4623438.29849436
abellerol_4,433408.2583167412,4616299.753072591
abellerol_4,270486.0744891939,4533666.538494173
abellerol_4,345706.4893050594,4616966.39036704
abellerol_4,346409.16049793,4619299.693779036
abellerol_4,346409.1624480324,4615299.735373288
abellerol_4,342851.2268015885,4616429.639344794
abellerol_4,346409.1624480324,4615299.735373288
abellerol_4,340409.22333125887,4618299.701692625
abellerol_4,341898.20935189445,4615124.734987214
abellerol_4,343409.19588316896,4610299.786347479
abellerol_4,346409.16049793,4619299.693779036
abellerol_4,410436.7592887733,4652985.09664213
abellerol_4,434359.2404388166,4658573.314216239
abellerol_4,437734.2063858078,4654719.35523106
abellerol_4,438530.21354961593,4655009.627112131
abellerol_4,438393.7943692095,4655359.253683042
abellerol_4,434359.2404388166,4658573.314216239
abellerol_4,439408.188749021,4658299.3181850575
abellerol_4,434359.2404388166,4658573.314216239
abellerol_4,438408.19900110847,4656299.338791194
abellerol_4,434359.2404388166,4658573.314216239
abellerol_4,438923.6085975285,4655576.296739203
abellerol_4,434359.2404388166,4658573.314216239
abellerol_4,435408.2291068617,4659299.307132582
abellerol_4,436408.2191323696,4659299.307779081
abellerol_4,434359.2404388166,4658573.314216239
abellerol_4,470576.56330750126,4650781.918681375
abellerol_4,446408.1241607286,4607299.849471132
abellerol_4,447960.1811125899,4602903.0130731445
abellerol_4,446640.9028782499,4609407.549825898
abellerol_4,445408.1347111421,4609299.828041385
abellerol_4,287409.78958342527,4592299.944106538
abellerol_4,288409.77642146684,4596299.902631577
abellerol_4,291061.6779030661,4568522.912309804
abellerol_4,292409.7527146614,4567300.21031293
abellerol_4,295804.0901686676,4568911.568127552
abellerol_4,291843.7581705138,4568006.203249078
abellerol_4,362409.0126128465,4574300.172324062
abellerol_4,362409.0126128465,4574300.172324062
abellerol_4,369403.846807452,4570061.391058563
abellerol_4,478408.10752453614,4627663.771015063
abellerol_4,295412.0767624832,4512123.011271899
abellerol_4,359579.31242304895,4632409.115644696
abellerol_4,358223.3080410084,4633028.057681506
abellerol_4,353409.0807593572,4636299.519337153
abellerol_4,359579.31242304895,4632409.115644696
abellerol_4,359579.31242304895,4632409.115644696
abellerol_4,357706.919838892,4633412.779752637
abellerol_4,425531.966986482,4606412.416488301
abellerol_4,429408.30273541855,4602299.8987214295
abellerol_4,421180.4589599631,4601946.026157402
abellerol_4,429408.30247702746,4604299.877529458
abellerol_4,429408.3036313551,4599299.929195341
abellerol_4,428218.12079054175,4596904.2302312935
abellerol_4,429259.991194739,4599358.981623308
abellerol_4,266565.7156436015,4547181.515465104
abellerol_4,297409.69677701493,4572300.1604644405
abellerol_4,415877.6482334678,4626812.5543479
abellerol_4,409134.3854059578,4626553.580792225
abellerol_4,408408.516606262,4622299.684082639
abellerol_4,403780.4958734397,4625612.651818501
abellerol_4,397151.37054352666,4631914.340354918
abellerol_4,392892.3772954913,4635168.945611193
abellerol_4,313285.07230279525,4596327.40342105
abellerol_4,311409.5358844546,4597299.905537029
abellerol_4,311409.5366286591,4596299.916082154
abellerol_4,310442.56096877763,4597485.24429776
abellerol_4,315409.4949963564,4596299.918973216
abellerol_4,310409.546617288,4597299.9049752
abellerol_4,312745.7686244757,4596127.705543478
abellerol_4,312468.026422821,4596063.701483078
abellerol_4,311409.5366286591,4596299.916082154
abellerol_4,310082.49598819285,4595651.009459525
abellerol_4,312840.5442889099,4596139.245453863
abellerol_4,507337.7624662789,4660043.956779177
abellerol_4,501407.5515475925,4664299.261914532
abellerol_4,508682.0178481265,4661522.191895935
abellerol_4,504954.4119923636,4664493.25999936
abellerol_4,506751.5446465063,4660968.481521786
abellerol_4,510147.57699753874,4681603.004877375
abellerol_4,510407.4601632642,4684299.056833987
abellerol_4,509663.4671347071,4680959.090647356
abellerol_4,502030.6194483395,4688428.2832892565
abellerol_4,501087.37497861,4688452.945360121
abellerol_4,507407.4908874667,4680299.097050044
abellerol_4,509116.1723685077,4681742.159703283
abellerol_4,509117.57369644457,4681615.359963419
abellerol_4,509663.4671347071,4680959.090647356
abellerol_4,509439.7770790784,4682745.9484947305
abellerol_4,500407.5623595364,4689299.00590138
abellerol_4,488041.0461347178,4633269.485421462
abellerol_4,486224.6619363363,4635872.6753818765
abellerol_4,489407.675694759,4632299.591971887
abellerol_4,493407.63422111614,4631299.603273995
abellerol_4,495329.807206815,4631176.362773366
abellerol_4,490196.66771691886,4631978.595461622
abellerol_4,439862.6984805917,4631472.196094985
abellerol_4,455170.9200951523,4610026.057493003
abellerol_4,437408.2203879983,4594299.98317281
abellerol_4,435636.995905966,4593695.979383907
abellerol_4,430408.293368787,4596299.961425548
abellerol_4,437408.2203879983,4594299.98317281
abellerol_4,431450.2173322847,4597591.290208703
abellerol_4,436536.1218799312,4592229.400219168
