name_month,x_UTM,y_UTM,N_indi
abellerol_4,311409.53966561705,4591299.968935221,2
abellerol_4,314409.5122233094,4584300.043543008,1
abellerol_4,314922.0698511787,4593031.073182477,2
abellerol_4,313409.53457822686,4562300.275198085,1
abellerol_4,308248.87125764287,4560495.6830801405,1
abellerol_4,343409.20672818425,4587300.026717921,15
abellerol_4,350174.27096567,4622566.389036783,4
abellerol_4,359579.31242304895,4632409.115644696,0
abellerol_4,333818.49875756213,4627032.4599168,2
abellerol_4,324666.69501816237,4628465.809372618,0
abellerol_4,333256.30383398343,4606142.824985237,0
abellerol_4,311409.5295003088,4609299.780473541,1
abellerol_4,292743.5871514611,4598320.241105128,2
abellerol_4,326409.341700632,4672299.1364694135,0
abellerol_4,372484.59626984334,4690720.764547567,1
abellerol_4,378243.89918692387,4651143.555377478,1
abellerol_4,515407.4076758944,4654299.364839699,1
abellerol_4,508508.4792775893,4676645.13459608,4
abellerol_4,508132.48304658895,4673326.169247445,2
abellerol_4,510086.462873385,4679779.10274529,3
abellerol_4,509355.05529954383,4685280.84875301,8
abellerol_4,507411.89401111525,4690788.537115028,2
abellerol_4,436408.2221398992,4641299.493108743,4
abellerol_4,421660.3905801407,4570531.231106391,10
abellerol_4,306409.6326953904,4520300.719180478,22
abellerol_4,293602.2397713684,4595057.826823619,1
abellerol_4,309207.35860208585,4567184.737390205,1
abellerol_4,311103.9726317817,4566146.496180391,12
abellerol_4,339280.8553535958,4549800.181631492,6
abellerol_4,339409.23578862415,4614299.742732231,0
abellerol_4,354409.08080821816,4611299.780918437,0
abellerol_4,332409.295012509,4641299.458538822,3
abellerol_4,296239.83702948806,4627692.634112488,1
abellerol_4,322194.8995767374,4630420.559073954,6
abellerol_4,317409.45393432,4633299.533314624,5
abellerol_4,324704.7812518055,4629881.403822736,1
abellerol_4,326480.2205096721,4627716.814345424,0
abellerol_4,326234.12048095214,4625625.478552608,0
abellerol_4,329953.3308163064,4620881.669086194,2
abellerol_4,321409.4026194967,4652299.338898243,5
abellerol_4,494407.6226977644,4689299.004975535,0
abellerol_4,515407.4076758944,4654299.364839699,1
abellerol_4,430723.12973725295,4607238.1833317,0
abellerol_4,463973.78739822615,4620541.838361439,0
abellerol_4,467494.0779578956,4621796.815794934,15
abellerol_4,312806.57371602656,4503251.905703635,5
abellerol_4,318303.51307817036,4506227.876352582,10
abellerol_4,319602.77736197377,4534016.387228641,0
abellerol_4,272409.9944422764,4521300.686926887,1
abellerol_4,275202.0578308526,4547693.768929526,1
abellerol_4,287409.79131749336,4589299.976125701,0
abellerol_4,292629.73200749827,4597172.896378909,0
abellerol_4,307730.3330966991,4592895.808087671,1
abellerol_4,311409.55573832104,4562300.274728163,5
abellerol_4,312938.1858749412,4562214.952838964,1
abellerol_4,310851.27566457057,4554226.132396436,5
abellerol_4,339280.8553535958,4549800.181631492,3
abellerol_4,358405.1081026978,4565068.130560062,25
abellerol_4,342409.2026622358,4618299.70232332,0
abellerol_4,346469.3831548856,4621358.9404392755,0
abellerol_4,406786.43055141903,4622375.690154807,0
abellerol_4,308409.54824695643,4631299.549796764,0
abellerol_4,313409.4961595653,4632299.542253896,2
abellerol_4,316409.46498615603,4632299.544011207,2
abellerol_4,308878.5385810933,4608099.888406582,30
abellerol_4,303963.60607902537,4610839.759642821,2
abellerol_4,317409.44388462754,4652299.33733407,0
abellerol_4,457408.0042496339,4652299.382726873,0
abellerol_4,478791.78393527056,4653139.375724643,0
abellerol_4,515407.4076758944,4654299.364839699,1
abellerol_4,509407.4704555589,4684299.056818494,2
abellerol_4,512407.4380797285,4639299.5196389565,14
abellerol_4,449626.60654609,4643829.583517356,0
abellerol_4,437961.1893883257,4647326.058186404,1
abellerol_4,433408.26121606794,4601299.90998808,0
abellerol_4,447454.4950250521,4598857.48438351,0
abellerol_4,287409.8412773926,4510300.814686369,5
