name_month,x_UTM,y_UTM,N_indi
oreneta_v_3,427035.7277603301,4584013.83449885,1
oreneta_v_3,434585.5280536439,4586560.232819516,6
oreneta_v_3,347409.1820853265,4549300.430948649,0
oreneta_v_3,385988.78073616093,4603234.980659941,0
oreneta_v_3,406408.5382808534,4617299.735797624,2
oreneta_v_3,468108.7833345097,4647940.532239638,1
oreneta_v_3,441408.17602416384,4611299.806871568,3
oreneta_v_3,441284.35383235675,4610900.832416584,1
oreneta_v_3,428226.38282533747,4596905.284962389,3
oreneta_v_3,433408.26121606794,4601299.90998808,1
oreneta_v_3,433408.26266817417,4595299.972439735,5
oreneta_v_3,481455.18314531835,4610951.670650198,0
oreneta_v_3,424408.3619103008,4571300.223209428,1
oreneta_v_3,378098.18461783475,4560518.8896821,1
oreneta_v_3,385505.61975156923,4568399.1674689045,6
oreneta_v_3,409408.51241807744,4597299.946367316,0
oreneta_v_3,328317.94109054643,4616243.75147498,0
oreneta_v_3,330409.32818446576,4616299.717401651,4
oreneta_v_3,507906.48524263076,4674571.15617817,3
oreneta_v_3,507831.6626443926,4674375.949194455,3
oreneta_v_3,505407.51026947465,4628299.634213762,1
oreneta_v_3,441210.1715324958,4649884.405307642,3
oreneta_v_3,427127.5146221061,4597981.663447998,1
oreneta_v_3,481455.18314531835,4610951.670650198,4
oreneta_v_3,479512.8497539764,4613250.169215632,15
oreneta_v_3,435805.239326578,4585890.071497907,6
oreneta_v_3,421691.7057736981,4570424.841514265,8
oreneta_v_3,421175.3466422276,4570438.858591453,1
oreneta_v_3,421597.96837026166,4570135.841814789,20
oreneta_v_3,386825.35119918606,4561217.309926045,3
oreneta_v_3,387408.7513267542,4570300.22401736,2
oreneta_v_3,337409.25919394207,4609299.793354105,0
oreneta_v_3,386408.75119029044,4602299.887039472,0
oreneta_v_3,403898.77458452666,4622468.671846328,5
oreneta_v_3,329354.33885508205,4616517.714011036,1
oreneta_v_3,437720.20582119166,4657202.329073701,2
oreneta_v_3,508348.83480055653,4673507.486532042,1
oreneta_v_3,505407.51026947465,4628299.634213762,1
oreneta_v_3,437618.34401833435,4648767.474451213,2
oreneta_v_3,481455.18314531835,4610951.670650198,0
oreneta_v_3,425108.91174948926,4594530.417184774,0
oreneta_v_3,357023.06558160065,4577898.148194129,1
oreneta_v_3,515780.64870392537,4652570.718533435,3
oreneta_v_3,508285.85559508303,4673087.706849462,2
oreneta_v_3,439362.2391757839,4642639.092284721,1
oreneta_v_3,431209.72075002093,4601654.262822262,5
oreneta_v_3,481455.18314531835,4610951.670650198,2
oreneta_v_3,434585.5280536439,4586560.232819516,2
oreneta_v_3,421660.3905801407,4570531.231106391,0
oreneta_v_3,305960.7693286191,4503375.756310809,0
